training,freq,class
قوم,236,drama
عطي,140,drama
شهر,69,drama
قلل,348,drama
صوت,61,drama
حوز,17,drama
قهي,21,drama
قمر,28,drama
لم,16,drama
مهل,123,drama
مضي,66,drama
كيل,51,drama
غ,21,drama
توه,17,drama
نفذ,41,drama
ويلر,14,drama
حرق,23,drama
سمح,73,drama
لوي,31,drama
كوبر,80,drama
نخب,13,drama
يوم,598,drama
عمه,14,drama
لبب,37,drama
ولي,106,drama
ثبت,21,drama
جعل,144,drama
لغد,24,drama
عبأ,17,drama
نظر,398,drama
شغل,72,drama
قرح,18,drama
امريكيه,30,drama
بقي,224,drama
كرث,16,drama
حلي,52,drama
لجأ,20,drama
خور,182,drama
ملك,77,drama
ماكنتوش,25,drama
دكتوره,35,drama
عبث,14,drama
روس,170,drama
جسم,17,drama
كان,41,drama
قرت,26,drama
بوح,15,drama
قوه,19,drama
كوكب,53,drama
وفق,31,drama
عصي,14,drama
وطن,23,drama
أبق,28,drama
دائما,54,drama
دعا,321,drama
خدم,100,drama
رعي,16,drama
حرص,13,drama
ولم,18,drama
حرب,36,drama
نجم,34,drama
فوق,32,drama
ثوب,30,drama
ضحك,22,drama
همم,75,drama
سول,209,drama
تقي,12,drama
أجل,115,drama
دهي,28,drama
باركر,15,drama
نقد,29,drama
رطل,16,drama
جوز,98,drama
عطل,27,drama
درد,32,drama
شون,40,drama
كارل,48,drama
وزن,30,drama
صبح,79,drama
حرج,18,drama
جلب,49,drama
كلف,36,drama
تيل,26,drama
سجن,33,drama
زوج,281,drama
تبع,57,drama
حمر,16,drama
وظف,49,drama
جلد,28,drama
خرق,13,drama
نتج,62,drama
جوي,123,drama
ن,23,drama
خرع,15,drama
ميز,49,drama
وحي,22,drama
طفأ,16,drama
فجر,21,drama
خلص,36,drama
نوص,31,drama
صدر,46,drama
صرخ,13,drama
محق,37,drama
شدد,21,drama
عذر,120,drama
سمي,204,drama
نصف,61,drama
ي,81,drama
جاسوس,24,drama
ضبط,56,drama
لون,180,drama
خرس,28,drama
نيك,103,drama
هدف,27,drama
قصد,96,drama
سلم,101,drama
شبح,19,drama
عكس,21,drama
ست,31,drama
هول,19,drama
معي,44,drama
خفض,46,drama
خامس,17,drama
سلح,40,drama
كوب,92,drama
فضل,310,drama
أفق,16,drama
نسأ,107,drama
برك,16,drama
رقم,68,drama
ألم,89,drama
طاق,16,drama
قطع,102,drama
أمن,88,drama
سور,204,drama
عقب,52,drama
عمر,51,drama
رسل,144,drama
حود,30,drama
هبط,78,drama
زيي,26,drama
الذي,19,drama
عور,21,drama
و,55,drama
قلب,54,drama
نجح,62,drama
كذب,61,drama
منطق,22,drama
وجه,92,drama
نور,123,drama
ركض,29,drama
زعج,28,drama
وصي,19,drama
سوق,34,drama
روز,33,drama
قون,34,drama
دخن,13,drama
غري,18,drama
غرض,23,drama
تلا,50,drama
بدأ,411,drama
شعر,254,drama
طبل,19,drama
رجع,70,drama
حجز,21,drama
لذي,201,drama
صباح,44,drama
واز,17,drama
روح,82,drama
جرب,69,drama
ربع,18,drama
خرج,242,drama
مسي,12,drama
تعب,14,drama
وغد,24,drama
صلي,133,drama
حجر,23,drama
مدي,76,drama
ميلر,18,drama
جبي,326,drama
مثل,87,drama
ضوع,13,drama
مركز,31,drama
بور,17,drama
ذهب,467,drama
متن,33,drama
جرأ,74,drama
ربح,14,drama
ظلم,13,drama
نقش,15,drama
قضي,110,drama
جوبز,25,drama
تجاه,26,drama
صغر,154,drama
ولس,198,drama
سلك,43,drama
لفق,13,drama
دعم,18,drama
س,25,drama
قد,19,drama
بصر,14,drama
بله,16,drama
ستكون,17,drama
صوف,18,drama
دون,82,drama
خلي,34,drama
جدي,278,drama
حرم,30,drama
عدد,51,drama
دفع,127,drama
صرح,38,drama
شمس,37,drama
رفق,125,drama
شره,17,drama
عتد,14,drama
برم,16,drama
نوس,203,drama
فقد,96,drama
صفف,30,drama
بريندا,20,drama
وسن,31,drama
خصص,78,drama
بكر,19,drama
وري,27,drama
ايليش,46,drama
قطر,26,drama
زور,45,drama
طور,277,drama
شفي,34,drama
بروكلين,18,drama
حكم,126,drama
يود,90,drama
سيأ,111,drama
نبه,21,drama
هتم,64,drama
توج,24,drama
نهر,88,drama
خطا,142,drama
غلف,21,drama
تهم,38,drama
مول,128,drama
رود,681,drama
فوح,39,drama
فشل,26,drama
سفل,59,drama
علن,51,drama
ب,33,drama
وعد,32,drama
مسك,55,drama
شوش,17,drama
جهل,29,drama
بعد,132,drama
بحر,27,drama
سجل,44,drama
جيش,17,drama
دخل,177,drama
باتسي,16,drama
علا,98,drama
مزق,15,drama
طبع,157,drama
ربط,30,drama
صندوق,17,drama
زول,83,drama
لغا,184,drama
رقأ,13,drama
سوك,206,drama
أخر,171,drama
كره,58,drama
عجل,19,drama
حسن,133,drama
فوه,23,drama
بين,47,drama
ورق,35,drama
اي,34,drama
حلق,25,drama
وقد,20,drama
رهق,14,drama
صون,29,drama
جنب,92,drama
سند,15,drama
كفأ,90,drama
فود,29,drama
صمي,15,drama
ميرف,77,drama
لخص,32,drama
مزج,12,drama
اداء,13,drama
بوب,70,drama
شرع,58,drama
أمر,480,drama
لوب,15,drama
لحظ,84,drama
ظرف,14,drama
أكر,15,drama
حبب,30,drama
